video_title,views,likes,comments,release_date_time,link
The weirdest (and coolest) tongues in the animal kingdom - Cella Wright,93K,"4,716",,1 day ago,https://www.youtube.com/watch?v=dzX8hvoGtT8
The Greek myth of the serpent’s curse - Iseult Gillespie,175K,"6,670",,6 days ago,https://www.youtube.com/watch?v=H7ZhDe1K8uU
Why fish are better at breathing than you are - Dan Kwartler,229K,"9,298",,8 days ago,https://www.youtube.com/watch?v=bH3O69BscYg
What happens in your body during a miscarriage? - Nassim Assefi and Emily M. Godfrey,286K,"12,941",,2 weeks ago,https://www.youtube.com/watch?v=fKja0y17vt4
How close are we to powering the world with nuclear fusion? - George Zaidan,178K,"6,884",,2 weeks ago,https://www.youtube.com/watch?v=dGr8VaITKbA
How do doctors determine what stage of cancer you have? - Hyunsoo Joshua No and Trudy Wu,316K,"11,432",,3 weeks ago,https://www.youtube.com/watch?v=qwCBEgjUluU
The secret behind how Chinese characters work - Gina Marie Elia,436K,"17,715",,3 weeks ago,https://www.youtube.com/watch?v=U0EySK4T2aY
What really happened to Oedipus? - Stephen Esposito,418K,"14,161",,4 weeks ago,https://www.youtube.com/watch?v=0a9Wuz7MvUE
Can you solve the basketball riddle? - Dan Katz,295K,"9,592",,1 month ago,https://www.youtube.com/watch?v=aa2Fmr7sKIA
These animals can hear everything - Jakob Christensen-Dalsgaard,164K,"5,914",,1 month ago,https://www.youtube.com/watch?v=VElc-9Xa1f0
"How to love, according to Rumi - Stephanie Honchell Smith",280K,"13,484",,1 month ago,https://www.youtube.com/watch?v=MNw9x53Ybos
Can you transplant a head to another body? - Max G. Levy,420K,"13,927",,1 month ago,https://www.youtube.com/watch?v=D8TapCbDemk
How did ancient civilizations make ice cream? - Vivian Jiang,706K,"20,230",,1 month ago,https://www.youtube.com/watch?v=7K3KdgDcdYc
How does an air conditioner actually work? - Anna Rothschild,297K,"10,940",,1 month ago,https://www.youtube.com/watch?v=6sSDXurPX-s
"Why don't ""tough"" and ""dough"" rhyme? - Arika Okrent",375K,"14,081",,1 month ago,https://www.youtube.com/watch?v=XFhY4Vy3IHc
Can AI predict someone's breakup? - Thomas Hofweber,144K,"5,504",,1 month ago,https://www.youtube.com/watch?v=RX-upJeSm7w
What happened when these 6 dictators took over? - Stephanie Honchell Smith,441K,"17,836",,2 months ago,https://www.youtube.com/watch?v=kkZ7B-Fv-ck
Scientists are obsessed with this lake - Nicola Storelli and Daniele Zanzi,751K,"18,423",,2 months ago,https://www.youtube.com/watch?v=KF6rClLH4n4
How could so many people support Hitler? - Joseph Lacey,602K,"24,109",,2 months ago,https://www.youtube.com/watch?v=DcdufLc3QSA
Why do bugs swarm over water? - Luke M. Jacobus,330K,"11,028",,2 months ago,https://www.youtube.com/watch?v=-4YCwyHdC58
How to increase your happiness,506K,"20,011",,2 months ago,https://www.youtube.com/watch?v=m4Ics03xzUQ
How do gas masks actually work? - George Zaidan,486K,"20,190",,2 months ago,https://www.youtube.com/watch?v=BJM2uk3mZV0
The rise and fall of the Maya Empire’s most powerful city - Geoffrey E. Braswell,256K,"8,036",,2 months ago,https://www.youtube.com/watch?v=ulHWR0Dp6Rk
Does math have a major flaw? - Jacqueline Doan and Alex Kazachek,310K,"10,882",,2 months ago,https://www.youtube.com/watch?v=seugK4PrW48
Picture a perfect society. What does it look like? - Joseph Lacey,218K,"9,011",,2 months ago,https://www.youtube.com/watch?v=wyHLLzmNje0
The Nazis recruited to win the Cold War - Brian Crim,430K,"19,240",,3 months ago,https://www.youtube.com/watch?v=OiKQjezOKXc
How to prevent political corruption - Stephanie Honchell Smith,429K,"22,268",,3 months ago,https://www.youtube.com/watch?v=gn4S7lQ111M
